timestamp,bin,input,elapsed_sec,score
2026-03-14T15:31:27+0900,v003_two_opt_window,tools/in/0045.txt,2,412089265
2026-03-14T15:31:29+0900,v003_two_opt_window,tools/in/0046.txt,2,405372626
2026-03-14T15:31:31+0900,v003_two_opt_window,tools/in/0047.txt,2,408164056
2026-03-14T15:31:33+0900,v003_two_opt_window,tools/in/0048.txt,2,403592747
2026-03-14T15:31:35+0900,v003_two_opt_window,tools/in/0049.txt,2,405576269
2026-03-14T15:40:40+0900,v070,tools/in/0000.txt,2,410061445
2026-03-14T15:40:42+0900,v070,tools/in/0001.txt,2,405243035
2026-03-14T15:40:44+0900,v070,tools/in/0002.txt,2,412797330
2026-03-14T15:40:46+0900,v070,tools/in/0003.txt,2,405702828
2026-03-14T15:40:48+0900,v070,tools/in/0004.txt,2,407442876
2026-03-14T15:40:50+0900,v070,tools/in/0005.txt,2,406760234
2026-03-14T15:40:52+0900,v070,tools/in/0006.txt,2,409149455
2026-03-14T15:40:54+0900,v070,tools/in/0007.txt,2,408462396
2026-03-14T15:40:56+0900,v070,tools/in/0008.txt,2,407071295
2026-03-14T15:40:58+0900,v070,tools/in/0009.txt,2,408326742
2026-03-14T15:41:00+0900,v070,tools/in/0010.txt,2,406785053
2026-03-14T15:41:02+0900,v070,tools/in/0011.txt,2,409640384
2026-03-14T15:41:04+0900,v070,tools/in/0012.txt,2,409014602
2026-03-14T15:41:06+0900,v070,tools/in/0013.txt,2,408354817
2026-03-14T15:41:08+0900,v070,tools/in/0014.txt,2,407065836
2026-03-14T15:41:10+0900,v070,tools/in/0015.txt,2,408466729
2026-03-14T15:41:12+0900,v070,tools/in/0016.txt,2,407616263
2026-03-14T15:41:14+0900,v070,tools/in/0017.txt,2,405144633
2026-03-14T15:41:16+0900,v070,tools/in/0018.txt,2,405967566
2026-03-14T15:41:18+0900,v070,tools/in/0019.txt,2,408829564
2026-03-14T15:41:20+0900,v070,tools/in/0020.txt,2,407090281
2026-03-14T15:41:21+0900,v070,tools/in/0021.txt,1,407644354
2026-03-14T15:41:23+0900,v070,tools/in/0022.txt,2,405831104
2026-03-14T15:41:25+0900,v070,tools/in/0023.txt,2,410635239
2026-03-14T15:41:27+0900,v070,tools/in/0024.txt,2,410239707
2026-03-14T15:41:29+0900,v070,tools/in/0025.txt,2,410699049
2026-03-14T15:41:31+0900,v070,tools/in/0026.txt,2,408680261
2026-03-14T15:41:33+0900,v070,tools/in/0027.txt,2,405923516
2026-03-14T15:41:35+0900,v070,tools/in/0028.txt,2,409138172
2026-03-14T15:41:37+0900,v070,tools/in/0029.txt,2,406689632
2026-03-14T15:41:39+0900,v070,tools/in/0030.txt,2,407611468
2026-03-14T15:41:41+0900,v070,tools/in/0031.txt,2,409212785
2026-03-14T15:41:43+0900,v070,tools/in/0032.txt,2,409128951
2026-03-14T15:41:45+0900,v070,tools/in/0033.txt,2,410003032
2026-03-14T15:41:47+0900,v070,tools/in/0034.txt,2,406777573
2026-03-14T15:41:49+0900,v070,tools/in/0035.txt,2,407627119
2026-03-14T15:41:51+0900,v070,tools/in/0036.txt,2,407147027
2026-03-14T15:41:53+0900,v070,tools/in/0037.txt,2,405897998
2026-03-14T15:41:55+0900,v070,tools/in/0038.txt,2,408038678
2026-03-14T15:41:57+0900,v070,tools/in/0039.txt,2,405803859
2026-03-14T15:41:59+0900,v070,tools/in/0040.txt,2,410851337
2026-03-14T15:42:00+0900,v004_cycle_relocate,tools/in/0000.txt,2,412716446
2026-03-14T15:42:01+0900,v070,tools/in/0041.txt,1,410585302
2026-03-14T15:42:02+0900,v004_cycle_relocate,tools/in/0001.txt,2,415012879
2026-03-14T15:42:02+0900,v070,tools/in/0042.txt,1,406265058
2026-03-14T15:42:04+0900,v004_cycle_relocate,tools/in/0002.txt,2,407238201
2026-03-14T15:42:04+0900,v070,tools/in/0043.txt,2,408527036
2026-03-14T15:42:06+0900,v004_cycle_relocate,tools/in/0003.txt,2,408619352
2026-03-14T15:42:06+0900,v070,tools/in/0044.txt,2,406824381
2026-03-14T15:42:08+0900,v004_cycle_relocate,tools/in/0004.txt,2,407355543
2026-03-14T15:42:08+0900,v070,tools/in/0045.txt,2,406292952
2026-03-14T15:42:10+0900,v004_cycle_relocate,tools/in/0005.txt,2,408797156
2026-03-14T15:42:10+0900,v070,tools/in/0046.txt,2,408969213
2026-03-14T15:42:12+0900,v004_cycle_relocate,tools/in/0006.txt,2,406070698
2026-03-14T15:42:12+0900,v070,tools/in/0047.txt,2,406549478
2026-03-14T15:42:14+0900,v004_cycle_relocate,tools/in/0007.txt,2,411022148
2026-03-14T15:42:14+0900,v070,tools/in/0048.txt,2,407907902
2026-03-14T15:42:16+0900,v004_cycle_relocate,tools/in/0008.txt,1,410602066
2026-03-14T15:42:16+0900,v070,tools/in/0049.txt,2,408279112
2026-03-14T15:42:17+0900,v004_cycle_relocate,tools/in/0009.txt,1,409862712
2026-03-14T15:42:19+0900,v004_cycle_relocate,tools/in/0010.txt,2,410157313
2026-03-14T15:42:21+0900,v004_cycle_relocate,tools/in/0011.txt,2,407019988
2026-03-14T15:42:23+0900,v004_cycle_relocate,tools/in/0012.txt,2,409231372
2026-03-14T15:42:25+0900,v004_cycle_relocate,tools/in/0013.txt,2,409709884
2026-03-14T15:42:27+0900,v004_cycle_relocate,tools/in/0014.txt,2,410970291
2026-03-14T15:42:29+0900,v004_cycle_relocate,tools/in/0015.txt,2,413530068
2026-03-14T15:42:31+0900,v004_cycle_relocate,tools/in/0016.txt,2,412355261
2026-03-14T15:42:33+0900,v004_cycle_relocate,tools/in/0017.txt,2,408767764
2026-03-14T15:42:35+0900,v004_cycle_relocate,tools/in/0018.txt,2,412389750
2026-03-14T15:42:37+0900,v004_cycle_relocate,tools/in/0019.txt,2,406527205
2026-03-14T15:42:39+0900,v004_cycle_relocate,tools/in/0020.txt,2,406075289
2026-03-14T15:42:41+0900,v004_cycle_relocate,tools/in/0021.txt,2,408512103
2026-03-14T15:42:43+0900,v004_cycle_relocate,tools/in/0022.txt,2,409298256
2026-03-14T15:42:45+0900,v004_cycle_relocate,tools/in/0023.txt,2,413123110
2026-03-14T15:42:47+0900,v004_cycle_relocate,tools/in/0024.txt,2,408033584
2026-03-14T15:42:49+0900,v004_cycle_relocate,tools/in/0025.txt,1,406289456
2026-03-14T15:42:50+0900,v004_cycle_relocate,tools/in/0026.txt,1,409918019
2026-03-14T15:42:52+0900,v004_cycle_relocate,tools/in/0027.txt,2,407218627
2026-03-14T15:42:54+0900,v004_cycle_relocate,tools/in/0028.txt,2,410961496
2026-03-14T15:42:56+0900,v004_cycle_relocate,tools/in/0029.txt,2,411604435
2026-03-14T15:42:58+0900,v004_cycle_relocate,tools/in/0030.txt,2,410714762
2026-03-14T15:43:00+0900,v004_cycle_relocate,tools/in/0031.txt,2,415885784
2026-03-14T15:43:02+0900,v004_cycle_relocate,tools/in/0032.txt,2,407957374
2026-03-14T15:43:04+0900,v004_cycle_relocate,tools/in/0033.txt,2,410703068
2026-03-14T15:43:06+0900,v004_cycle_relocate,tools/in/0034.txt,2,409168175
2026-03-14T15:43:08+0900,v004_cycle_relocate,tools/in/0035.txt,2,413028801
2026-03-14T15:43:10+0900,v004_cycle_relocate,tools/in/0036.txt,2,411422719
2026-03-14T15:43:12+0900,v004_cycle_relocate,tools/in/0037.txt,2,410609876
2026-03-14T15:43:14+0900,v004_cycle_relocate,tools/in/0038.txt,2,407860042
2026-03-14T15:43:16+0900,v004_cycle_relocate,tools/in/0039.txt,2,410785145
2026-03-14T15:43:18+0900,v004_cycle_relocate,tools/in/0040.txt,2,412547301
2026-03-14T15:43:20+0900,v004_cycle_relocate,tools/in/0041.txt,2,409981465
2026-03-14T15:43:21+0900,v004_cycle_relocate,tools/in/0042.txt,1,409801307
2026-03-14T15:43:23+0900,v004_cycle_relocate,tools/in/0043.txt,2,411002810
2026-03-14T15:43:25+0900,v004_cycle_relocate,tools/in/0044.txt,2,410001064
